<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.36574085908992465,MTMR
1,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.4328934846038122,VJTNN
2,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.5069009856664853,VJTNN+GAN
3,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.45931865306137665,CORE
4,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.5897433429649633,HierG2G
5,1.0,0.8084557289006591,0.8017845644803667,0.3362850821035503,0.671,0.45250586152529715,HierG2G+BT
6,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.0,JTVAE
7,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.5299809196701507,UGMMT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.003,0.007,0.0,0.65
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.002,0.004,0.0,0.7
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.132,0.154,0.4328934846038122,0.4
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.052,0.065,0.4328934846038122,0.45
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.02,0.025,0.4328934846038122,0.5
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.008,0.011,0.4328934846038122,0.55
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.002,0.004,0.4328934846038122,0.6
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.002,0.003,0.4328934846038122,0.65
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.0,0.0,0.4328934846038122,0.7
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.199,0.23,0.5069009856664853,0.4
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.083,0.101,0.5069009856664853,0.45
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.033,0.044,0.5069009856664853,0.5
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.014,0.019,0.5069009856664853,0.55
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.007,0.01,0.5069009856664853,0.6
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.002,0.002,0.5069009856664853,0.65
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.001,0.001,0.5069009856664853,0.7
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.153,0.186,0.45931865306137665,0.4
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.051,0.072,0.45931865306137665,0.45
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.028,0.039,0.45931865306137665,0.5
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.011,0.017,0.45931865306137665,0.55
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.005,0.007,0.45931865306137665,0.6
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.001,0.003,0.45931865306137665,0.65
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.0,0.0,0.45931865306137665,0.7
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.126,0.171,0.5897433429649633,0.4
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.056,0.08,0.5897433429649633,0.45
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.027,0.037,0.5897433429649633,0.5
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.012,0.015,0.5897433429649633,0.55
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.006,0.009,0.5897433429649633,0.6
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.003,0.004,0.5897433429649633,0.65
HierG2G,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.001,0.001,0.5897433429649633,0.7
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.179,0.218,0.5299809196701507,0.4
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.104,0.128,0.5299809196701507,0.45
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.054,0.072,0.5299809196701507,0.5
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.025,0.033,0.5299809196701507,0.55
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.01,0.014,0.5299809196701507,0.6
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.006,0.009,0.5299809196701507,0.65
UGMMT,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.003,0.004,0.5299809196701507,0.7
>>>>>>> 59e80091a08b3f55adc18bc4da94ccce197327b3
