<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.49909458734273576,MTMR
1,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.2971278235147563,VJTNN
2,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.40038564016086764,VJTNN+GAN
3,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.34768199776883796,CORE
4,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.3561149903371006,HierG2G
5,0.84875,0.830438831766974,2.9081180071709105,0.3744738229888073,0.84875,0.3612647412133163,HierG2G+BT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.04375,0.0,0.0,0.55
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.03875,0.0,0.0,0.6
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.035,0.0,0.0,0.65
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.015,0.0,0.0,0.7
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.67625,0.19625,0.2971278235147563,0.4
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.6375,0.1475,0.2971278235147563,0.45
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.59,0.10125,0.2971278235147563,0.5
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.5175,0.06,0.2971278235147563,0.55
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.4325,0.03375,0.2971278235147563,0.6
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.3175,0.015,0.2971278235147563,0.65
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.20125,0.0025,0.2971278235147563,0.7
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.72125,0.2975,0.40038564016086764,0.4
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.6825,0.22375,0.40038564016086764,0.45
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.625,0.155,0.40038564016086764,0.5
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.54625,0.095,0.40038564016086764,0.55
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.4575,0.04875,0.40038564016086764,0.6
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.335,0.0175,0.40038564016086764,0.65
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.21,0.005,0.40038564016086764,0.7
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.69125,0.25875,0.34768199776883796,0.4
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.6175,0.18875,0.34768199776883796,0.45
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.57,0.14125,0.34768199776883796,0.5
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.4775,0.07875,0.34768199776883796,0.55
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.3975,0.0575,0.34768199776883796,0.6
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.27875,0.01875,0.34768199776883796,0.65
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.17875,0.005,0.34768199776883796,0.7
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.615,0.15875,0.3561149903371006,0.4
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.56625,0.115,0.3561149903371006,0.45
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.50125,0.07625,0.3561149903371006,0.5
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.42,0.03875,0.3561149903371006,0.55
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.335,0.01875,0.3561149903371006,0.6
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.25375,0.00875,0.3561149903371006,0.65
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.1575,0.00125,0.3561149903371006,0.7
>>>>>>> 59e80091a08b3f55adc18bc4da94ccce197327b3
