<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.6238601164706578,MTMR
1,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.6181622852840108,VJTNN
2,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.6072571080792141,VJTNN+GAN
3,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.6276984205360572,CORE
4,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.6469604314650316,HierG2G
5,0.98125,1.3348320527384183,3.9825682822105377,0.2691947304142912,0.98125,0.6921095689155805,HierG2G+BT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.105,0.01,0.6072571080792141,0.65
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.05,0.0,0.6072571080792141,0.7
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.68875,0.3675,0.6276984205360572,0.4
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.5875,0.24625,0.6276984205360572,0.45
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.48125,0.1575,0.6276984205360572,0.5
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.3225,0.06875,0.6276984205360572,0.55
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.20625,0.03,0.6276984205360572,0.6
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.11125,0.0125,0.6276984205360572,0.65
CORE,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.05375,0.005,0.6276984205360572,0.7
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.59375,0.31,0.6469604314650316,0.4
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.44,0.1825,0.6469604314650316,0.45
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.295,0.09875,0.6469604314650316,0.5
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.1675,0.03,0.6469604314650316,0.55
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.085,0.01,0.6469604314650316,0.6
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.0375,0.00125,0.6469604314650316,0.65
HierG2G,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.02,0.0,0.6469604314650316,0.7
>>>>>>> 59e80091a08b3f55adc18bc4da94ccce197327b3
